,,,,,,Gemeentenaam,LON(east),LAT(north)
Gemeente Krimpen aan den IJssel,,Krimpen aan den IJssel,Gemeente,,16/06/2022,KRIMPEN AAN DEN IJSSEL,51.914,4.588
Gemeente Krimpenerwaard,,Krimpenerwaard,Gemeente,01/01/2015,15/06/2022,STOLWIJK,51.973,4.771
Gemeente Laarbeek,,Laarbeek,Gemeente,01/01/1997,15/06/2022,BEEK EN DONK,51.534,5.633
Gemeente Land van Cuijk,,Land van Cuijk,Gemeente,01/01/2022,21/04/2022,,,
Gemeente Landgraaf,,Landgraaf,Gemeente,01/01/1982,13/05/2022,LANDGRAAF,50.905,6.024
Gemeente Landsmeer,,Landsmeer,Gemeente,,25/05/2022,LANDSMEER,52.432,4.916
Gemeente Lansingerland,,Lansingerland,Gemeente,01/01/2007,12/05/2022,BERGSCHENHOEK,51.982,4.493
Gemeente Laren,,Laren,Gemeente,,08/06/2022,LAREN NH,52.256,5.23
Gemeente Leeuwarden,,Leeuwarden,Gemeente,,16/06/2022,LEEUWARDEN,53.202,5.79
Gemeente Leiden,,Leiden,Gemeente,,19/04/2022,LEIDEN,52.166,4.48
Gemeente Leiderdorp,,Leiderdorp,Gemeente,,13/05/2022,LEIDERDORP,52.154,4.538
Gemeente Leidschendam-Voorburg,,Leidschendam-Voorburg,Gemeente,01/01/2002,19/05/2022,LEIDSCHENDAM,52.086,4.394
Gemeente Lelystad,,Lelystad,Gemeente,01/01/1980,27/04/2022,LELYSTAD,52.508,5.476
Gemeente Leudal,,Leudal,Gemeente,01/01/2007,19/04/2022,HEYTHUYSEN,51.25,5.906
Gemeente Leusden,,Leusden,Gemeente,,05/05/2022,LEUSDEN,52.13,5.429
Gemeente Lingewaard,,Lingewaard,Gemeente,01/01/2003,01/06/2022,BEMMEL,51.89,5.895
Gemeente Lisse,,Lisse,Gemeente,,15/06/2022,LISSE,52.258,4.553
Gemeente Lochem,,Lochem,Gemeente,,17/06/2022,LOCHEM,52.165,6.416
Gemeente Loon op Zand,,Loon op Zand,Gemeente,,19/04/2022,KAATSHEUVEL,51.66,5.033
Gemeente Lopik,,Lopik,Gemeente,,19/04/2022,,,
Gemeente Losser,,Losser,Gemeente,,13/05/2022,LOSSER,52.263,7.006
Gemeente Maasdriel,,Maasdriel,Gemeente,01/08/1944,02/06/2022,KERKDRIEL,51.771,5.338
Gemeente Maasgouw,,Maasgouw,Gemeente,01/01/2007,20/05/2022,MAASBRACHT,51.147,5.893
Gemeente Maashorst,,Maashorst,Gemeente,01/01/2022,13/05/2022,,,
Gemeente Maassluis,,Maassluis,Gemeente,,10/06/2022,MAASSLUIS,51.927,4.239
Gemeente Maastricht,,Maastricht,Gemeente,,17/06/2022,MAASTRICHT,50.852,5.694
Gemeente Medemblik,,Medemblik,Gemeente,,26/04/2022,WOGNUM,52.687,5.028
Gemeente Meerssen,,Meerssen,Gemeente,,19/04/2022,MEERSSEN,50.884,5.754
Gemeente Meierijstad,,Meierijstad,Gemeente,01/01/2017,10/06/2022,VEGHEL,51.614,5.546
Gemeente Meppel,,Meppel,Gemeente,,01/06/2022,MEPPEL,52.699,6.188
