Gemeentecode,Gemeentenaam,Provinciecode,Provincienaam,GemiddeldAardgasverbruik,GemiddeldElektriciteitsverbruik,Unnamed: 0,distance,WeerStation,pctzon_gemiddeld,FG_gemiddeld,Inwoneraantal,"Groot, middelgroot en klein",Kleur,AantalInstallatiesBijWoningen,OpgesteldVermogenVanZonnepanelen
221,DOESBURG,25,GELDERLAND,85550.0,181290.0,2057.0,19.224967311065832,DEELEN,35.0,3.8,,,NO DATA,1845.0,6548.0
222,DOETINCHEM,25,GELDERLAND,821220.0,1743140.0,2092.0,27.91703145032013,HUPSEL,   36.3,3.4,57382.0,Middelgroot,NO DATA,13163.0,44752.0
766,DONGEN,30,NOORD-BRABANT,176990.0,409310.0,7626.0,8.095972939792059,GILZE-RIJEN,36.9,3.7,,,ORANJE,4287.0,15913.0
505,DORDRECHT,28,ZUID-HOLLAND,909800.0,2111670.0,5358.0,24.429992166238577,CABAUW,      -,4.3,118426.0,Groot,NO DATA,9634.0,29680.0
498,DRECHTERLAND,27,NOORD-HOLLAND,229160.0,468980.0,5201.0,12.26364858851172,BERKHOUT,   38.6,,,,NO DATA,5352.0,18490.0
1719,DRIMMELEN,30,NOORD-BRABANT,206560.0,486670.0,10408.0,19.260097463463527,GILZE-RIJEN,36.9,3.7,,,ORANJE,4033.0,14846.0
303,DRONTEN,24,FLEVOLAND,365050.0,846110.0,3004.0,13.5629793439229,LELYSTAD,37.6,4.4,40735.0,Klein,NO DATA,11522.0,42935.0
225,DRUTEN,25,GELDERLAND,182940.0,394250.0,2130.0,25.12238742791089,VOLKEL,37.2,3.7,,,NO DATA,3401.0,13107.0
226,DUIVEN,25,GELDERLAND,116880.0,448020.0,2135.0,16.032206812004492,DEELEN,35.0,3.8,,,NO DATA,4568.0,17246.0
1711,ECHT-SUSTEREN,31,LIMBURG,531220.0,1102280.0,10363.0,21.756459551137645,MAASTRICHT,36.1,4.2,31751.0,Klein,ROOD,7827.0,31521.0
385,EDAM-VOLENDAM,27,NOORD-HOLLAND,387190.0,783580.0,4057.0,16.33113561641713,BERKHOUT,   38.6,,35953.0,Klein,NO DATA,4765.0,17036.0
228,EDE,25,GELDERLAND,838060.0,1888470.0,2161.0,12.195140845172576,DEELEN,35.0,3.8,114682.0,Groot,NO DATA,19902.0,68192.0
317,EEMNES,26,UTRECHT,103100.0,198150.0,3228.0,17.830868551487303,DE BILT,36.4,3.6,,,NO DATA,3002.0,8584.0
770,EERSEL,30,NOORD-BRABANT,309690.0,650770.0,7651.0,6.696023880664499,EINDHOVEN,36.9,3.8,,,ROOD,3793.0,16859.0
1903,EIJSDEN-MARGRATEN,31,LIMBURG,456170.0,876410.0,,,,,,,,WIT,7647.0,31486.0
772,EINDHOVEN,30,NOORD-BRABANT,1164080.0,2470070.0,7677.0,5.611997760328371,EINDHOVEN,36.9,3.8,229126.0,Groot,GEEL,36473.0,116556.0
230,ELBURG,25,GELDERLAND,214280.0,452310.0,2198.0,22.21229562601852,LELYSTAD,37.6,4.4,,,NO DATA,5493.0,18683.0
114,EMMEN,22,DRENTHE,1042450.0,1979910.0,1206.0,24.91786982219961,HOOGEVEEN,36.3,4.0,107192.0,Groot,ROOD,24494.0,92379.0
388,ENKHUIZEN,27,NOORD-HOLLAND,105300.0,219980.0,4102.0,21.40095842862084,STAVOREN,40.0,5.9,,,NO DATA,2850.0,8479.0
153,ENSCHEDE,23,OVERIJSSEL,756140.0,1738070.0,1425.0,4.530519108519468,TWENTHE,35.7,3.5,158261.0,Groot,GEEL,19383.0,67151.0
232,EPE,25,GELDERLAND,372060.0,725620.0,2213.0,30.02841016195348,DEELEN,35.0,3.8,32863.0,Klein,NO DATA,5377.0,20871.0
233,ERMELO,25,GELDERLAND,178540.0,391720.0,2250.0,20.940683459264896,LELYSTAD,37.6,4.4,,,NO DATA,6715.0,23604.0
777,ETTEN-LEUR,30,NOORD-BRABANT,450830.0,1069730.0,7704.0,20.638632823453086,GILZE-RIJEN,36.9,3.7,43532.0,Klein,ORANJE,5745.0,22605.0
1940,DE FRYSKE MARREN,21,FRIESLAND,1023840.0,1939250.0,,,,,,51742.0,Middelgroot,NO DATA,12226.0,43707.0
779,GEERTRUIDENBERG,30,NOORD-BRABANT,110980.0,274260.0,7730.0,15.234487213725323,GILZE-RIJEN,36.9,3.7,,,ORANJE,3063.0,11017.0
1771,GELDROP-MIERLO,30,NOORD-BRABANT,156700.0,336220.0,10745.0,14.836321562829088,EINDHOVEN,36.9,3.8,39252.0,Klein,GEEL,8613.0,31657.0
1652,GEMERT-BAKEL,30,NOORD-BRABANT,326900.0,779650.0,9696.0,13.531414274709984,VOLKEL,37.2,3.7,30340.0,Klein,ROOD,6918.0,26121.0
907,GENNEP,31,LIMBURG,208940.0,485640.0,8916.0,20.021338024622505,VOLKEL,37.2,3.7,,,ROOD,3558.0,13680.0
784,GILZE EN RIJEN,30,NOORD-BRABANT,139540.0,343190.0,7756.0,1.783831794363955,GILZE-RIJEN,36.9,3.7,,,ORANJE,4614.0,18772.0
1924,GOEREE-OVERFLAKKEE,28,ZUID-HOLLAND,609830.0,1346730.0,,,,,,49129.0,Klein,NO DATA,12899.0,40603.0
664,GOES,29,ZEELAND,315730.0,685490.0,6861.0,19.60714976735718,VLISSINGEN,40.2,6.4,37636.0,Klein,NO DATA,11826.0,33848.0
785,GOIRLE,30,NOORD-BRABANT,443340.0,1073910.0,7782.0,9.210986457791012,GILZE-RIJEN,36.9,3.7,,,ORANJE,3960.0,15497.0
1942,GOOISE MEREN,27,NOORD-HOLLAND,763060.0,1425580.0,,,,,,57337.0,Middelgroot,NO DATA,4993.0,15118.0
512,GORINCHEM,28,ZUID-HOLLAND,315290.0,771590.0,5417.0,11.82160484689685,HERWIJNEN,37.6,4.1,36284.0,Klein,NO DATA,3858.0,11697.0
513,GOUDA,28,ZUID-HOLLAND,477740.0,1065250.0,5436.0,15.857141436378956,CABAUW,      -,4.3,72700.0,Middelgroot,NO DATA,9593.0,25731.0
