Gemeentecode,Gemeentenaam,Provinciecode,Provincienaam,GemiddeldAardgasverbruik,GemiddeldElektriciteitsverbruik,WeerStation,pctzon_gemiddeld,FG_gemiddeld,Kleur,AantalInstallatiesBijWoningen,OpgesteldVermogenVanZonnepanelen
166,KAMPEN,23,OVERIJSSEL,408710.0,818230.0,MARKNESSE,38.2,4.2,ROOD,10609.0,33672.0
678,KAPELLE,29,ZEELAND,84910.0,177910.0,VLISSINGEN,40.2,6.4,NO RESTRICTIONS,4300.0,12903.0
537,KATWIJK,28,ZUID-HOLLAND,440020.0,1017470.0,VOORSCHOTEN,,,NO RESTRICTIONS,7908.0,22666.0
928,KERKRADE,31,LIMBURG,240670.0,482980.0,MAASTRICHT,36.1,4.2,WIT,13311.0,43070.0
1598,KOGGENLAND,27,NOORD-HOLLAND,569690.0,1264810.0,BERKHOUT,   38.6,,NO RESTRICTIONS,5096.0,17627.0
542,KRIMPEN AAN DEN IJSSEL,28,ZUID-HOLLAND,85240.0,187870.0,ROTTERDAM,37.1,4.4,NO RESTRICTIONS,2913.0,10143.0
1931,KRIMPENERWAARD,28,ZUID-HOLLAND,708160.0,1575300.0,,,,NO RESTRICTIONS,6930.0,22773.0
1659,LAARBEEK,30,NOORD-BRABANT,190030.0,423920.0,VOLKEL,37.2,3.7,ROOD,4446.0,18622.0
1685,LANDERD,30,NOORD-BRABANT,164930.0,384430.0,VOLKEL,37.2,3.7,ROOD,3342.0,14830.0
882,LANDGRAAF,31,LIMBURG,327760.0,674800.0,MAASTRICHT,36.1,4.2,WIT,11004.0,38509.0
415,LANDSMEER,27,NOORD-HOLLAND,117390.0,254590.0,SCHIPHOL,37.7,5.0,NO RESTRICTIONS,2205.0,9298.0
416,LANGEDIJK,27,NOORD-HOLLAND,79430.0,189130.0,BERKHOUT,   38.6,,NO RESTRICTIONS,8133.0,23388.0
1621,LANSINGERLAND,28,ZUID-HOLLAND,637030.0,1636700.0,ROTTERDAM,37.1,4.4,NO RESTRICTIONS,12697.0,36323.0
417,LAREN,27,NOORD-HOLLAND,176910.0,327510.0,DE BILT,36.4,3.6,NO RESTRICTIONS,573.0,2214.0
80,LEEUWARDEN,21,FRIESLAND,1152690.0,2174630.0,LEEUWARDEN,38.0,4.7,NO RESTRICTIONS,28214.0,90692.0
546,LEIDEN,28,ZUID-HOLLAND,495220.0,1150540.0,VOORSCHOTEN,,,NO RESTRICTIONS,10607.0,28411.0
547,LEIDERDORP,28,ZUID-HOLLAND,180260.0,421900.0,VOORSCHOTEN,,,NO RESTRICTIONS,3300.0,11184.0
1916,LEIDSCHENDAM-VOORBURG,28,ZUID-HOLLAND,539730.0,1111310.0,VOORSCHOTEN,,,NO RESTRICTIONS,6369.0,19273.0
